category_id,name,last_update
1,Action,2022-02-15 03:46:27-06
2,Animation,2022-02-15 03:46:27-06
3,Children,2022-02-15 03:46:27-06
4,Classics,2022-02-15 03:46:27-06
5,Comedy,2022-02-15 03:46:27-06
6,Documentary,2022-02-15 03:46:27-06
7,Drama,2022-02-15 03:46:27-06
8,Family,2022-02-15 03:46:27-06
9,Foreign,2022-02-15 03:46:27-06
10,Games,2022-02-15 03:46:27-06
11,Horror,2022-02-15 03:46:27-06
12,Music,2022-02-15 03:46:27-06
13,New,2022-02-15 03:46:27-06
14,Sci-Fi,2022-02-15 03:46:27-06
15,Sports,2022-02-15 03:46:27-06
16,Travel,2022-02-15 03:46:27-06
