city_id,city,country_id,last_update
1,A Corua (La Corua),87,2022-02-15 03:45:25-06
2,Abha,82,2022-02-15 03:45:25-06
3,Abu Dhabi,101,2022-02-15 03:45:25-06
4,Acua,60,2022-02-15 03:45:25-06
5,Adana,97,2022-02-15 03:45:25-06
6,Addis Abeba,31,2022-02-15 03:45:25-06
7,Aden,107,2022-02-15 03:45:25-06
8,Adoni,44,2022-02-15 03:45:25-06
9,Ahmadnagar,44,2022-02-15 03:45:25-06
10,Akishima,50,2022-02-15 03:45:25-06
11,Akron,103,2022-02-15 03:45:25-06
12,al-Ayn,101,2022-02-15 03:45:25-06
13,al-Hawiya,82,2022-02-15 03:45:25-06
14,al-Manama,11,2022-02-15 03:45:25-06
15,al-Qadarif,89,2022-02-15 03:45:25-06
16,al-Qatif,82,2022-02-15 03:45:25-06
17,Alessandria,49,2022-02-15 03:45:25-06
18,Allappuzha (Alleppey),44,2022-02-15 03:45:25-06
19,Allende,60,2022-02-15 03:45:25-06
20,Almirante Brown,6,2022-02-15 03:45:25-06
21,Alvorada,15,2022-02-15 03:45:25-06
22,Ambattur,44,2022-02-15 03:45:25-06
23,Amersfoort,67,2022-02-15 03:45:25-06
24,Amroha,44,2022-02-15 03:45:25-06
25,Angra dos Reis,15,2022-02-15 03:45:25-06
26,Anpolis,15,2022-02-15 03:45:25-06
27,Antofagasta,22,2022-02-15 03:45:25-06
28,Aparecida de Goinia,15,2022-02-15 03:45:25-06
29,Apeldoorn,67,2022-02-15 03:45:25-06
30,Araatuba,15,2022-02-15 03:45:25-06
31,Arak,46,2022-02-15 03:45:25-06
32,Arecibo,77,2022-02-15 03:45:25-06
33,Arlington,103,2022-02-15 03:45:25-06
34,Ashdod,48,2022-02-15 03:45:25-06
35,Ashgabat,98,2022-02-15 03:45:25-06
36,Ashqelon,48,2022-02-15 03:45:25-06
37,Asuncin,73,2022-02-15 03:45:25-06
38,Athenai,39,2022-02-15 03:45:25-06
39,Atinsk,80,2022-02-15 03:45:25-06
40,Atlixco,60,2022-02-15 03:45:25-06
41,Augusta-Richmond County,103,2022-02-15 03:45:25-06
42,Aurora,103,2022-02-15 03:45:25-06
43,Avellaneda,6,2022-02-15 03:45:25-06
44,Bag,15,2022-02-15 03:45:25-06
45,Baha Blanca,6,2022-02-15 03:45:25-06
46,Baicheng,23,2022-02-15 03:45:25-06
47,Baiyin,23,2022-02-15 03:45:25-06
48,Baku,10,2022-02-15 03:45:25-06
49,Balaiha,80,2022-02-15 03:45:25-06
50,Balikesir,97,2022-02-15 03:45:25-06
51,Balurghat,44,2022-02-15 03:45:25-06
52,Bamenda,19,2022-02-15 03:45:25-06
53,Bandar Seri Begawan,16,2022-02-15 03:45:25-06
54,Banjul,37,2022-02-15 03:45:25-06
55,Barcelona,104,2022-02-15 03:45:25-06
56,Basel,91,2022-02-15 03:45:25-06
57,Bat Yam,48,2022-02-15 03:45:25-06
58,Batman,97,2022-02-15 03:45:25-06
59,Batna,2,2022-02-15 03:45:25-06
60,Battambang,18,2022-02-15 03:45:25-06
61,Baybay,75,2022-02-15 03:45:25-06
62,Bayugan,75,2022-02-15 03:45:25-06
63,Bchar,2,2022-02-15 03:45:25-06
64,Beira,63,2022-02-15 03:45:25-06
65,Bellevue,103,2022-02-15 03:45:25-06
66,Belm,15,2022-02-15 03:45:25-06
67,Benguela,4,2022-02-15 03:45:25-06
68,Beni-Mellal,62,2022-02-15 03:45:25-06
69,Benin City,69,2022-02-15 03:45:25-06
70,Bergamo,49,2022-02-15 03:45:25-06
71,Berhampore (Baharampur),44,2022-02-15 03:45:25-06
72,Bern,91,2022-02-15 03:45:25-06
73,Bhavnagar,44,2022-02-15 03:45:25-06
74,Bhilwara,44,2022-02-15 03:45:25-06
75,Bhimavaram,44,2022-02-15 03:45:25-06
76,Bhopal,44,2022-02-15 03:45:25-06
77,Bhusawal,44,2022-02-15 03:45:25-06
78,Bijapur,44,2022-02-15 03:45:25-06
79,Bilbays,29,2022-02-15 03:45:25-06
80,Binzhou,23,2022-02-15 03:45:25-06
81,Birgunj,66,2022-02-15 03:45:25-06
82,Bislig,75,2022-02-15 03:45:25-06
83,Blumenau,15,2022-02-15 03:45:25-06
84,Boa Vista,15,2022-02-15 03:45:25-06
85,Boksburg,85,2022-02-15 03:45:25-06
86,Botosani,78,2022-02-15 03:45:25-06
87,Botshabelo,85,2022-02-15 03:45:25-06
88,Bradford,102,2022-02-15 03:45:25-06
89,Braslia,15,2022-02-15 03:45:25-06
90,Bratislava,84,2022-02-15 03:45:25-06
91,Brescia,49,2022-02-15 03:45:25-06
92,Brest,34,2022-02-15 03:45:25-06
93,Brindisi,49,2022-02-15 03:45:25-06
94,Brockton,103,2022-02-15 03:45:25-06
95,Bucuresti,78,2022-02-15 03:45:25-06
96,Buenaventura,24,2022-02-15 03:45:25-06
97,Bydgoszcz,76,2022-02-15 03:45:25-06
98,Cabuyao,75,2022-02-15 03:45:25-06
99,Callao,74,2022-02-15 03:45:25-06
100,Cam Ranh,105,2022-02-15 03:45:25-06
101,Cape Coral,103,2022-02-15 03:45:25-06
102,Caracas,104,2022-02-15 03:45:25-06
103,Carmen,60,2022-02-15 03:45:25-06
104,Cavite,75,2022-02-15 03:45:25-06
