film_id,category_id,last_update
1,6,2022-02-15 04:07:09-06
2,11,2022-02-15 04:07:09-06
3,6,2022-02-15 04:07:09-06
4,11,2022-02-15 04:07:09-06
5,8,2022-02-15 04:07:09-06
6,9,2022-02-15 04:07:09-06
7,5,2022-02-15 04:07:09-06
8,11,2022-02-15 04:07:09-06
9,11,2022-02-15 04:07:09-06
10,15,2022-02-15 04:07:09-06
11,9,2022-02-15 04:07:09-06
12,12,2022-02-15 04:07:09-06
13,11,2022-02-15 04:07:09-06
14,4,2022-02-15 04:07:09-06
15,9,2022-02-15 04:07:09-06
16,9,2022-02-15 04:07:09-06
17,12,2022-02-15 04:07:09-06
18,2,2022-02-15 04:07:09-06
19,1,2022-02-15 04:07:09-06
20,12,2022-02-15 04:07:09-06
21,1,2022-02-15 04:07:09-06
22,13,2022-02-15 04:07:09-06
23,2,2022-02-15 04:07:09-06
24,11,2022-02-15 04:07:09-06
25,13,2022-02-15 04:07:09-06
26,14,2022-02-15 04:07:09-06
27,15,2022-02-15 04:07:09-06
28,5,2022-02-15 04:07:09-06
29,1,2022-02-15 04:07:09-06
30,11,2022-02-15 04:07:09-06
31,8,2022-02-15 04:07:09-06
32,13,2022-02-15 04:07:09-06
33,7,2022-02-15 04:07:09-06
34,11,2022-02-15 04:07:09-06
35,11,2022-02-15 04:07:09-06
36,2,2022-02-15 04:07:09-06
37,4,2022-02-15 04:07:09-06
38,1,2022-02-15 04:07:09-06
39,14,2022-02-15 04:07:09-06
40,6,2022-02-15 04:07:09-06
41,16,2022-02-15 04:07:09-06
42,15,2022-02-15 04:07:09-06
43,8,2022-02-15 04:07:09-06
44,14,2022-02-15 04:07:09-06
45,13,2022-02-15 04:07:09-06
46,10,2022-02-15 04:07:09-06
47,9,2022-02-15 04:07:09-06
48,3,2022-02-15 04:07:09-06
49,14,2022-02-15 04:07:09-06
50,8,2022-02-15 04:07:09-06
51,12,2022-02-15 04:07:09-06
52,9,2022-02-15 04:07:09-06
53,8,2022-02-15 04:07:09-06
54,12,2022-02-15 04:07:09-06
55,14,2022-02-15 04:07:09-06
56,1,2022-02-15 04:07:09-06
57,16,2022-02-15 04:07:09-06
58,6,2022-02-15 04:07:09-06
59,3,2022-02-15 04:07:09-06
60,4,2022-02-15 04:07:09-06
61,7,2022-02-15 04:07:09-06
62,6,2022-02-15 04:07:09-06
63,8,2022-02-15 04:07:09-06
64,7,2022-02-15 04:07:09-06
65,11,2022-02-15 04:07:09-06
66,3,2022-02-15 04:07:09-06
67,1,2022-02-15 04:07:09-06
68,3,2022-02-15 04:07:09-06
69,14,2022-02-15 04:07:09-06
70,2,2022-02-15 04:07:09-06
71,8,2022-02-15 04:07:09-06
72,6,2022-02-15 04:07:09-06
73,14,2022-02-15 04:07:09-06
74,12,2022-02-15 04:07:09-06
75,16,2022-02-15 04:07:09-06
76,12,2022-02-15 04:07:09-06
77,13,2022-02-15 04:07:09-06
78,2,2022-02-15 04:07:09-06
79,7,2022-02-15 04:07:09-06
80,8,2022-02-15 04:07:09-06
81,14,2022-02-15 04:07:09-06
82,8,2022-02-15 04:07:09-06
83,8,2022-02-15 04:07:09-06
84,16,2022-02-15 04:07:09-06
85,6,2022-02-15 04:07:09-06
86,12,2022-02-15 04:07:09-06
87,16,2022-02-15 04:07:09-06
88,16,2022-02-15 04:07:09-06
