inventory_id,film_id,store_id,last_update
1,1,1,2022-02-15 04:09:17-06
2,1,1,2022-02-15 04:09:17-06
3,1,1,2022-02-15 04:09:17-06
4,1,1,2022-02-15 04:09:17-06
5,1,2,2022-02-15 04:09:17-06
6,1,2,2022-02-15 04:09:17-06
7,1,2,2022-02-15 04:09:17-06
8,1,2,2022-02-15 04:09:17-06
9,2,2,2022-02-15 04:09:17-06
10,2,2,2022-02-15 04:09:17-06
11,2,2,2022-02-15 04:09:17-06
12,3,2,2022-02-15 04:09:17-06
13,3,2,2022-02-15 04:09:17-06
14,3,2,2022-02-15 04:09:17-06
15,3,2,2022-02-15 04:09:17-06
16,4,1,2022-02-15 04:09:17-06
17,4,1,2022-02-15 04:09:17-06
18,4,1,2022-02-15 04:09:17-06
19,4,1,2022-02-15 04:09:17-06
20,4,2,2022-02-15 04:09:17-06
21,4,2,2022-02-15 04:09:17-06
22,4,2,2022-02-15 04:09:17-06
23,5,2,2022-02-15 04:09:17-06
24,5,2,2022-02-15 04:09:17-06
25,5,2,2022-02-15 04:09:17-06
26,6,1,2022-02-15 04:09:17-06
27,6,1,2022-02-15 04:09:17-06
28,6,1,2022-02-15 04:09:17-06
29,6,2,2022-02-15 04:09:17-06
30,6,2,2022-02-15 04:09:17-06
31,6,2,2022-02-15 04:09:17-06
32,7,1,2022-02-15 04:09:17-06
33,7,1,2022-02-15 04:09:17-06
34,7,2,2022-02-15 04:09:17-06
35,7,2,2022-02-15 04:09:17-06
36,7,2,2022-02-15 04:09:17-06
37,8,2,2022-02-15 04:09:17-06
38,8,2,2022-02-15 04:09:17-06
39,8,2,2022-02-15 04:09:17-06
40,8,2,2022-02-15 04:09:17-06
41,9,1,2022-02-15 04:09:17-06
42,9,1,2022-02-15 04:09:17-06
43,9,1,2022-02-15 04:09:17-06
44,9,2,2022-02-15 04:09:17-06
45,9,2,2022-02-15 04:09:17-06
46,10,1,2022-02-15 04:09:17-06
47,10,1,2022-02-15 04:09:17-06
48,10,1,2022-02-15 04:09:17-06
49,10,1,2022-02-15 04:09:17-06
50,10,2,2022-02-15 04:09:17-06
51,10,2,2022-02-15 04:09:17-06
52,10,2,2022-02-15 04:09:17-06
53,11,1,2022-02-15 04:09:17-06
54,11,1,2022-02-15 04:09:17-06
55,11,1,2022-02-15 04:09:17-06
56,11,1,2022-02-15 04:09:17-06
57,11,2,2022-02-15 04:09:17-06
58,11,2,2022-02-15 04:09:17-06
59,11,2,2022-02-15 04:09:17-06
60,12,1,2022-02-15 04:09:17-06
61,12,1,2022-02-15 04:09:17-06
62,12,1,2022-02-15 04:09:17-06
63,12,2,2022-02-15 04:09:17-06
64,12,2,2022-02-15 04:09:17-06
65,12,2,2022-02-15 04:09:17-06
66,12,2,2022-02-15 04:09:17-06
67,13,2,2022-02-15 04:09:17-06
68,13,2,2022-02-15 04:09:17-06
69,13,2,2022-02-15 04:09:17-06
70,13,2,2022-02-15 04:09:17-06
71,15,1,2022-02-15 04:09:17-06
72,15,1,2022-02-15 04:09:17-06
73,15,2,2022-02-15 04:09:17-06
74,15,2,2022-02-15 04:09:17-06
75,15,2,2022-02-15 04:09:17-06
76,15,2,2022-02-15 04:09:17-06
77,16,1,2022-02-15 04:09:17-06
78,16,1,2022-02-15 04:09:17-06
79,16,2,2022-02-15 04:09:17-06
80,16,2,2022-02-15 04:09:17-06
81,17,1,2022-02-15 04:09:17-06
82,17,1,2022-02-15 04:09:17-06
83,17,1,2022-02-15 04:09:17-06
84,17,2,2022-02-15 04:09:17-06
85,17,2,2022-02-15 04:09:17-06
86,17,2,2022-02-15 04:09:17-06
87,18,1,2022-02-15 04:09:17-06
88,18,1,2022-02-15 04:09:17-06
89,18,1,2022-02-15 04:09:17-06
90,18,2,2022-02-15 04:09:17-06
91,18,2,2022-02-15 04:09:17-06
92,18,2,2022-02-15 04:09:17-06
93,19,1,2022-02-15 04:09:17-06
94,19,1,2022-02-15 04:09:17-06
95,19,1,2022-02-15 04:09:17-06
96,19,1,2022-02-15 04:09:17-06
97,19,2,2022-02-15 04:09:17-06
98,19,2,2022-02-15 04:09:17-06
99,20,1,2022-02-15 04:09:17-06
100,20,1,2022-02-15 04:09:17-06
101,20,1,2022-02-15 04:09:17-06
102,21,1,2022-02-15 04:09:17-06
103,21,1,2022-02-15 04:09:17-06
104,21,2,2022-02-15 04:09:17-06
105,21,2,2022-02-15 04:09:17-06
106,21,2,2022-02-15 04:09:17-06
107,21,2,2022-02-15 04:09:17-06
108,22,1,2022-02-15 04:09:17-06
109,22,1,2022-02-15 04:09:17-06
110,22,1,2022-02-15 04:09:17-06
111,22,1,2022-02-15 04:09:17-06
112,22,2,2022-02-15 04:09:17-06
113,22,2,2022-02-15 04:09:17-06
114,22,2,2022-02-15 04:09:17-06
115,23,1,2022-02-15 04:09:17-06
116,23,1,2022-02-15 04:09:17-06
117,23,1,2022-02-15 04:09:17-06
118,23,2,2022-02-15 04:09:17-06
119,23,2,2022-02-15 04:09:17-06
120,24,1,2022-02-15 04:09:17-06
121,24,1,2022-02-15 04:09:17-06
122,24,1,2022-02-15 04:09:17-06
123,24,1,2022-02-15 04:09:17-06
124,25,1,2022-02-15 04:09:17-06
125,25,1,2022-02-15 04:09:17-06
126,25,1,2022-02-15 04:09:17-06
127,25,1,2022-02-15 04:09:17-06
128,25,2,2022-02-15 04:09:17-06
129,25,2,2022-02-15 04:09:17-06
130,26,1,2022-02-15 04:09:17-06
131,26,1,2022-02-15 04:09:17-06
132,26,2,2022-02-15 04:09:17-06
133,26,2,2022-02-15 04:09:17-06
134,26,2,2022-02-15 04:09:17-06
135,27,1,2022-02-15 04:09:17-06
136,27,1,2022-02-15 04:09:17-06
137,27,1,2022-02-15 04:09:17-06
138,27,1,2022-02-15 04:09:17-06
139,28,1,2022-02-15 04:09:17-06
140,28,1,2022-02-15 04:09:17-06
141,28,1,2022-02-15 04:09:17-06
142,29,1,2022-02-15 04:09:17-06
143,29,1,2022-02-15 04:09:17-06
144,30,1,2022-02-15 04:09:17-06
145,30,1,2022-02-15 04:09:17-06
146,31,1,2022-02-15 04:09:17-06
147,31,1,2022-02-15 04:09:17-06
148,31,1,2022-02-15 04:09:17-06
149,31,1,2022-02-15 04:09:17-06
150,31,2,2022-02-15 04:09:17-06
151,31,2,2022-02-15 04:09:17-06
152,31,2,2022-02-15 04:09:17-06
153,31,2,2022-02-15 04:09:17-06
154,32,2,2022-02-15 04:09:17-06
155,32,2,2022-02-15 04:09:17-06
156,34,2,2022-02-15 04:09:17-06
157,34,2,2022-02-15 04:09:17-06
158,34,2,2022-02-15 04:09:17-06
159,34,2,2022-02-15 04:09:17-06
160,35,1,2022-02-15 04:09:17-06
161,35,1,2022-02-15 04:09:17-06
162,35,1,2022-02-15 04:09:17-06
163,35,1,2022-02-15 04:09:17-06
164,35,2,2022-02-15 04:09:17-06
165,35,2,2022-02-15 04:09:17-06
166,35,2,2022-02-15 04:09:17-06
167,37,1,2022-02-15 04:09:17-06
168,37,1,2022-02-15 04:09:17-06
169,37,1,2022-02-15 04:09:17-06
170,37,1,2022-02-15 04:09:17-06
171,37,2,2022-02-15 04:09:17-06
172,37,2,2022-02-15 04:09:17-06
173,37,2,2022-02-15 04:09:17-06
174,39,1,2022-02-15 04:09:17-06
175,39,1,2022-02-15 04:09:17-06
176,39,1,2022-02-15 04:09:17-06
177,39,2,2022-02-15 04:09:17-06
178,39,2,2022-02-15 04:09:17-06
179,39,2,2022-02-15 04:09:17-06
180,39,2,2022-02-15 04:09:17-06
181,40,2,2022-02-15 04:09:17-06
182,40,2,2022-02-15 04:09:17-06
183,40,2,2022-02-15 04:09:17-06
184,40,2,2022-02-15 04:09:17-06
185,42,2,2022-02-15 04:09:17-06
186,42,2,2022-02-15 04:09:17-06
187,42,2,2022-02-15 04:09:17-06
188,42,2,2022-02-15 04:09:17-06
189,43,1,2022-02-15 04:09:17-06
190,43,1,2022-02-15 04:09:17-06
191,43,1,2022-02-15 04:09:17-06
192,43,2,2022-02-15 04:09:17-06
193,43,2,2022-02-15 04:09:17-06
194,43,2,2022-02-15 04:09:17-06
195,43,2,2022-02-15 04:09:17-06
196,44,1,2022-02-15 04:09:17-06
197,44,1,2022-02-15 04:09:17-06
198,44,2,2022-02-15 04:09:17-06
199,44,2,2022-02-15 04:09:17-06
200,44,2,2022-02-15 04:09:17-06
201,45,1,2022-02-15 04:09:17-06
