payment_id,customer_id,staff_id,rental_id,amount,payment_date
16061,272,1,1041,6.99,2022-07-19 00:32:02.911937-06
16064,273,2,980,0.99,2022-07-07 01:15:37.160099-06
16071,275,2,336,2.99,2022-07-04 03:47:03.440928-06
16072,276,1,736,3.99,2022-07-10 22:46:45.091689-06
16076,279,1,979,2.99,2022-07-24 04:07:49.460456-06
16094,288,2,565,5.99,2022-07-14 09:55:31.352314-06
16095,290,1,160,2.99,2022-07-18 12:44:37.9813-06
16102,293,2,1034,8.99,2022-07-20 10:20:24.393304-06
16108,296,2,956,2.99,2022-07-05 21:43:27.375499-06
16114,300,2,457,0.99,2022-07-04 23:02:05.370807-06
16116,300,1,1111,4.99,2022-07-13 22:55:30.951321-06
16121,302,2,92,5.99,2022-07-10 14:15:44.989839-06
16126,304,1,415,0.99,2022-07-07 09:31:55.630302-06
16132,307,1,535,4.99,2022-07-22 18:46:09.376135-06
16134,307,1,970,6.99,2022-07-11 22:10:35.832729-06
16137,309,2,723,0.99,2022-07-06 17:20:33.675343-06
16144,312,2,229,4.99,2022-07-06 04:02:59.220907-06
16160,318,1,224,9.99,2022-07-21 00:35:41.347175-06
16177,327,1,653,6.99,2022-07-17 22:15:27.637307-06
16179,330,1,704,3.99,2022-07-13 12:59:39.13037-06
16187,334,1,431,8.99,2022-07-06 11:09:24.685288-06
16193,343,2,102,3.99,2022-07-03 15:01:18.599942-06
16194,343,1,455,3.99,2022-07-15 17:36:11.210569-06
16206,351,1,1137,1.99,2022-07-06 02:34:24.044828-06
16212,355,1,1110,3.99,2022-07-17 07:25:01.108668-06
16239,369,2,854,0.99,2022-07-06 05:49:28.34667-06
16250,374,1,521,0.99,2022-07-09 14:48:19.975521-06
16260,379,1,863,4.99,2022-07-10 17:16:55.027998-06
16282,389,1,998,4.99,2022-07-20 17:24:21.986264-06
16283,390,1,254,4.99,2022-07-01 20:54:03.730481-06
16292,394,1,213,3.99,2022-07-17 03:59:22.434368-06
16298,399,2,694,6.99,2022-07-10 07:24:40.260995-06
16316,408,2,59,5.99,2022-07-15 21:23:48.145008-06
16321,412,2,191,0.99,2022-07-21 14:40:29.040522-06
16339,421,1,931,0.99,2022-07-26 00:28:01.379742-06
16340,422,1,398,0.99,2022-07-17 14:30:51.749754-06
16342,425,2,1098,5.99,2022-07-03 07:24:49.837413-06
16344,427,2,82,6.99,2022-07-14 23:52:27.931336-06
16348,429,2,601,7.99,2022-07-24 22:38:38.125062-06
16349,429,2,799,4.99,2022-07-01 17:57:09.239843-06
16359,434,2,508,5.99,2022-07-23 05:47:04.691644-06
16360,435,1,757,7.99,2022-07-15 00:21:42.624409-06
16361,435,1,806,4.99,2022-07-09 18:54:57.571469-06
16369,438,2,1036,0.99,2022-07-02 03:09:46.068677-06
16376,442,2,466,0.99,2022-07-12 19:04:31.62833-06
16378,442,1,632,5.99,2022-07-05 13:05:45.56652-06
16390,448,2,1123,2.99,2022-07-26 13:52:50.945254-06
16401,454,1,735,7.99,2022-07-25 17:52:22.598613-06
16413,462,2,590,3.99,2022-07-05 12:46:28.226844-06
16426,469,2,506,7.99,2022-07-07 10:18:16.247182-06
16428,469,2,936,1.99,2022-07-16 03:23:21.946558-06
16434,472,2,800,0.99,2022-07-06 20:41:10.022755-06
16443,476,1,771,2.99,2022-07-25 01:58:56.421741-06
16449,480,2,822,9.99,2022-07-19 12:29:31.053811-06
16458,485,1,1009,2.99,2022-07-09 07:53:46.196262-06
16476,498,2,49,2.99,2022-07-07 05:20:57.524605-06
16480,500,1,112,8.99,2022-07-14 19:51:02.666885-06
16482,500,1,610,0.99,2022-07-01 05:23:41.718698-06
16483,501,1,493,0.99,2022-07-10 17:32:20.107006-06
16491,503,1,631,2.99,2022-07-18 04:18:32.985347-06
16496,505,1,159,2.99,2022-07-20 14:17:32.273206-06
16497,505,1,645,2.99,2022-07-14 20:22:22.388988-06
16498,506,1,114,3.99,2022-07-20 18:39:35.80006-06
16499,506,2,387,2.99,2022-07-01 22:35:05.418562-06
16507,508,1,369,2.99,2022-07-01 13:34:13.708978-06
16508,508,2,921,2.99,2022-07-21 02:32:48.173052-06
16514,511,1,56,2.99,2022-07-26 22:39:00.482675-06
16520,516,2,339,3.99,2022-07-02 06:06:47.474722-06
16522,517,2,850,4.99,2022-07-01 20:05:15.307925-06
16525,520,1,962,6.99,2022-07-15 01:43:24.273821-06
16526,522,2,426,5.99,2022-07-10 10:44:03.456403-06
16527,523,1,42,4.99,2022-07-25 08:19:05.281645-06
16534,526,2,1015,2.99,2022-07-24 14:51:44.452505-06
16537,528,1,533,5.99,2022-07-10 07:10:32.088975-06
16543,531,1,681,2.99,2022-07-27 00:45:01.874389-06
16552,535,1,778,3.99,2022-07-16 12:02:01.530421-06
16562,541,1,1066,4.99,2022-06-30 19:25:17.371652-06
16583,550,2,922,7.99,2022-07-27 03:39:31.077634-06
16604,563,1,758,4.99,2022-07-19 16:13:43.761767-06
16610,566,2,234,5.99,2022-07-20 04:15:07.020538-06
16616,569,2,1037,3.99,2022-07-23 03:36:54.225847-06
16621,573,2,827,2.99,2022-07-20 03:58:33.049602-06
16622,574,2,433,0.99,2022-07-19 11:05:03.296928-06
16624,575,1,395,0.99,2022-07-24 09:53:43.162477-06
16637,584,1,626,4.99,2022-07-19 10:03:52.253965-06
16648,590,1,602,3.99,2022-07-13 15:39:03.136382-06
16668,204,2,857,4.99,2022-07-11 11:56:57.075958-06
16689,7,2,117,0.99,2022-07-01 10:08:33.07883-06
16705,14,2,815,0.99,2022-07-15 07:01:52.810333-06
16709,16,1,1017,2.99,2022-07-04 14:21:02.926456-06
16719,19,1,337,2.99,2022-07-14 17:15:39.039544-06
16720,19,2,591,2.99,2022-07-19 03:02:09.539138-06
16741,28,2,388,2.99,2022-07-25 03:10:38.957468-06
16742,28,1,868,2.99,2022-07-17 06:42:52.665365-06
16746,32,2,1067,4.99,2022-07-18 18:15:52.634206-06
16759,44,1,99,4.99,2022-07-02 03:18:59.553238-06
16760,44,1,407,2.99,2022-07-03 17:14:18.259994-06
16765,46,2,432,4.99,2022-07-23 09:04:45.869434-06
16766,46,1,938,2.99,2022-07-01 04:56:13.536618-06
16769,47,1,300,6.99,2022-07-25 19:31:53.562929-06
16782,51,2,119,4.99,2022-07-16 13:19:44.894165-06
16794,54,2,545,3.99,2022-07-10 17:38:02.156874-06
16799,56,1,341,5.99,2022-07-16 08:17:12.06814-06
16833,73,2,1133,4.99,2022-07-21 09:17:37.391996-06
16836,75,2,268,0.99,2022-07-17 21:07:16.479508-06
16845,79,1,859,2.99,2022-07-21 06:21:42.726504-06
16857,85,2,908,4.99,2022-07-21 16:42:35.816439-06
16860,87,1,674,2.99,2022-07-23 00:47:00.109428-06
16871,94,1,127,2.99,2022-07-04 17:27:22.579667-06
16877,101,1,468,9.99,2022-07-14 17:28:19.419217-06
16878,102,1,247,4.99,2022-07-19 06:15:03.198421-06
16880,102,2,562,1.99,2022-07-11 16:41:07.248837-06
16901,109,1,1115,2.99,2022-07-05 11:49:39.603515-06
16903,110,2,538,1.99,2022-07-24 02:44:58.992626-06
16904,111,2,505,2.99,2022-07-19 18:28:40.244622-06
16905,112,1,396,0.99,2022-07-22 00:26:26.695371-06
16907,113,1,510,0.99,2022-07-02 22:22:06.284373-06
16909,114,1,205,4.99,2022-07-16 09:10:22.670961-06
16919,119,2,67,0.99,2022-07-01 05:28:48.887854-06
16923,120,2,532,0.99,2022-07-19 10:01:26.157268-06
16934,126,1,752,4.99,2022-07-03 14:02:40.828179-06
16940,130,1,1,2.99,2022-07-10 13:55:17.257052-06
16942,131,2,55,2.99,2022-07-17 13:29:29.688695-06
16952,135,2,753,3.99,2022-07-03 03:31:51.116459-06
16954,137,1,925,2.99,2022-07-25 09:04:45.081153-06
16968,147,1,362,0.99,2022-07-27 00:44:10.835084-06
16970,148,1,682,4.99,2022-07-27 01:38:02.694609-06
