rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
2,2022-05-24 15:54:33-06,1525,459,2022-05-28 12:40:33-06,1,2022-02-15 20:30:53-06
3,2022-05-24 16:03:39-06,1711,408,2022-06-01 15:12:39-06,1,2022-02-15 20:30:53-06
4,2022-05-24 16:04:41-06,2452,333,2022-06-02 18:43:41-06,2,2022-02-15 20:30:53-06
5,2022-05-24 16:05:21-06,2079,222,2022-06-01 21:33:21-06,1,2022-02-15 20:30:53-06
6,2022-05-24 16:08:07-06,2792,549,2022-05-26 18:32:07-06,1,2022-02-15 20:30:53-06
7,2022-05-24 16:11:53-06,3995,269,2022-05-29 13:34:53-06,2,2022-02-15 20:30:53-06
8,2022-05-24 16:31:46-06,2346,239,2022-05-27 16:33:46-06,2,2022-02-15 20:30:53-06
9,2022-05-24 17:00:40-06,2580,126,2022-05-27 17:22:40-06,1,2022-02-15 20:30:53-06
10,2022-05-24 17:02:21-06,1824,399,2022-05-31 15:44:21-06,2,2022-02-15 20:30:53-06
11,2022-05-24 17:09:02-06,4443,142,2022-06-02 13:56:02-06,2,2022-02-15 20:30:53-06
12,2022-05-24 17:19:27-06,1584,261,2022-05-29 22:44:27-06,2,2022-02-15 20:30:53-06
13,2022-05-24 17:22:55-06,2294,334,2022-05-29 21:28:55-06,1,2022-02-15 20:30:53-06
14,2022-05-24 17:31:15-06,2701,446,2022-05-25 19:56:15-06,1,2022-02-15 20:30:53-06
15,2022-05-24 17:39:22-06,3049,319,2022-06-02 20:30:22-06,1,2022-02-15 20:30:53-06
16,2022-05-24 17:43:11-06,389,316,2022-05-25 21:42:11-06,2,2022-02-15 20:30:53-06
17,2022-05-24 18:06:36-06,830,575,2022-05-26 17:43:36-06,1,2022-02-15 20:30:53-06
18,2022-05-24 18:10:47-06,3376,19,2022-05-30 23:35:47-06,2,2022-02-15 20:30:53-06
19,2022-05-24 18:17:24-06,1941,456,2022-05-30 23:00:24-06,1,2022-02-15 20:30:53-06
20,2022-05-24 18:48:41-06,3517,185,2022-05-26 19:20:41-06,2,2022-02-15 20:30:53-06
21,2022-05-24 18:59:46-06,146,388,2022-05-25 18:01:46-06,2,2022-02-15 20:30:53-06
22,2022-05-24 19:19:23-06,727,509,2022-05-25 21:52:23-06,2,2022-02-15 20:30:53-06
23,2022-05-24 19:40:21-06,4441,438,2022-05-28 23:34:21-06,1,2022-02-15 20:30:53-06
24,2022-05-24 19:53:02-06,3273,350,2022-05-26 18:15:02-06,1,2022-02-15 20:30:53-06
25,2022-05-24 20:21:20-06,3961,37,2022-05-27 14:25:20-06,2,2022-02-15 20:30:53-06
26,2022-05-24 20:36:50-06,4371,371,2022-05-30 17:34:50-06,1,2022-02-15 20:30:53-06
27,2022-05-24 20:41:50-06,1225,301,2022-05-29 18:13:50-06,2,2022-02-15 20:30:53-06
